pair,crop,mae_h1,mae_h2,mae_h3,mape_h1,mape_h2,mape_h3,mape_avg,epochs_trained,n_rows,n_sequences
cassava/Accra,cassava,0.8990710807840027,1.383346361815929,1.2901020647088686,14.659486490258752,22.521237789759006,21.122779287273907,19.434501189097222,19,54,28
cassava/Bolgatanga,cassava,0.6720632480382921,0.5538651596903801,0.710880396783352,12.562897558255468,9.288171511825293,12.69347358432363,11.514847551468131,16,48,22
cassava/Cape Coast,cassava,7.609335314869881,9.83008842867613,9.988515357315539,39.02145436700105,42.595549909490416,44.37038917150895,41.995797816000135,17,50,24
cassava/Ho,cassava,3.4241499048471447,3.826441342830657,4.595169982910154,38.91548907999502,40.54010302239913,46.4094758560392,41.95502265281112,75,43,17
cassava/Kintampo,cassava,2.1809095918536183,2.4501306301951407,2.320027630150318,35.159841999886496,36.95700231268534,35.367163014324085,35.82800244229864,16,50,24
cassava/Kumasi,cassava,1.231378618478775,2.353414954046408,1.5876725967725112,18.065821766311497,34.350644754240925,23.12231158329725,25.179592701283223,17,52,26
cassava/Obuasi,cassava,3.7151457591727373,3.631099690422415,4.03299610696733,47.090438543709055,39.380280612474536,39.48262312355404,41.98444742657921,40,44,18
cassava/Sunyani,cassava,3.838644321411848,6.201023019651569,5.837187057534853,31.841386064870125,50.04725505549601,48.080561604945686,43.32306757510394,17,53,27
cassava/Tamale,cassava,2.267564368247986,4.443310308456421,3.6932398080825797,24.99460640479829,44.6410791186237,34.725320432408274,34.78700198527675,20,45,19
cassava/Techiman,cassava,2.9414128776391357,4.290076102614403,3.84184868991375,38.504792182339074,52.23093731718635,45.64435623260328,45.46002857737624,16,55,29
cassava/Tema,cassava,7.476956734309595,5.3503746050099545,4.8146019874016455,43.026925857507564,27.621020016456598,26.32298672241698,32.323644198793716,17,52,26
cassava/Wa,cassava,1.5865142885843906,2.3645639228820787,2.8118718147277826,16.706391637398813,19.90373672459662,27.586163896502875,21.398764086166107,19,38,12
maize/Accra,maize,0.5861250678698218,0.8895487739642457,0.4840324151515956,9.96460853684921,13.9543552088369,7.493901137832753,10.470954961172955,36,54,28
maize/Bolgatanga,maize,0.2678149847984317,0.3862203242778778,0.332158791422844,4.965821678812543,7.217354054320083,6.220637896084654,6.1346045430724265,33,49,23
maize/Cape Coast,maize,0.8266835145155592,1.1194237407048548,0.9642070202032729,9.624039205395404,12.310886294161401,10.359571612122835,10.76483237055988,30,54,28
maize/Ho,maize,0.7395348177850245,1.2055791111290455,0.9391581907868383,12.001846426102016,18.37116762400279,13.854234565459194,14.742416205188,23,43,17
maize/Kintampo,maize,0.4069342744350436,0.23942076730728132,0.8252830176353452,8.05273281716761,4.679395757659812,16.042094212581777,9.591407595803068,18,51,25
maize/Kumasi,maize,3.171688727637132,2.1879602334896724,2.708272197445233,37.68215302913165,24.907591217218783,30.506437830562167,31.0320606923042,18,52,26
maize/Obuasi,maize,1.467282988131046,1.519156077504158,2.4656975135207175,19.683245594638702,15.627804610329484,23.328800268396236,19.546616824454805,18,44,18
maize/Sunyani,maize,1.6501716770728434,1.3596502282222112,1.2126032149791717,30.337948123712394,24.032365920800753,21.053419135674435,25.141244393395862,68,53,27
maize/Tamale,maize,1.1767373871803286,0.8136354625225071,1.471427589058876,21.601868507289286,14.76931544578061,25.868019579045033,20.74640117737164,20,45,19
maize/Techiman,maize,1.466001006762187,1.186431546211243,1.710846384366354,27.665773323171344,21.886182721124587,31.15675152234094,26.90290252221229,20,55,29
maize/Tema,maize,1.3218983185291293,0.7321123626232149,0.6816908013820656,15.03837729112031,8.131133630669751,8.134735100024649,10.434748673938238,27,51,25
maize/Wa,maize,0.9287484145164489,0.6181907257437709,0.5894747100770472,16.29703735977108,10.792422265287149,10.18651276420745,12.425324129755225,39,42,16
