pair,crop,mae,rmse,mape,n_rows,n_folds,target
sorghum/Kumasi,sorghum,0.25175329595804213,0.33272807849829655,4.619431278807142,50,4,returns
sorghum/Obuasi,sorghum,0.10041666666666667,0.2008350622332222,2.2686788097747006,34,3,returns
sorghum/Sekondi-Takoradi,sorghum,0.4746870640913645,0.6925706502695578,6.251524949127462,37,3,returns
sorghum/Sunyani,sorghum,0.5431331697216741,0.6920531974442948,10.648495804700287,38,3,returns
sorghum/Tamale,sorghum,0.3719725818236668,0.5207117083324367,7.627196918311296,43,3,returns
sorghum/Techiman,sorghum,0.25310957951843743,0.358979007580686,6.688497226016635,53,4,returns
sorghum/Tema,sorghum,1.0448726639041193,1.2873768759181745,13.30654403675571,36,3,returns
sorghum/Wa,sorghum,0.29151551183064783,0.39028763124344135,9.22029925968778,40,3,returns
sorghum/Yendi,sorghum,0.3200761392822972,0.42710948675230925,7.450127192617914,39,3,returns
soybean/Accra,soybean,1.6334642988664132,2.070102043765965,30.256438074043576,38,3,returns
soybean/Bolgatanga,soybean,2.664059323204888,3.3312598194108505,85.15771627799008,29,2,returns
soybean/Cape Coast,soybean,4.737078212830755,5.735055792577949,68.40338305943857,29,2,returns
soybean/Ho,soybean,2.428660377462705,3.328204542458345,56.11706931282788,29,2,returns
soybean/Hohoe,soybean,3.1211509843667358,4.046388637309155,75.2080284476005,18,1,returns
soybean/Kintampo,soybean,1.0629293261965116,1.3307697241604837,76.37501848501172,34,3,returns
soybean/Koforidua,soybean,1.010214615719659,1.2068543930585427,35.7982674786867,21,1,returns
soybean/Kumasi,soybean,1.8616269176977651,2.4347081359846854,69.08422715035205,36,3,returns
soybean/Mankessim,soybean,2.387833666205406,3.384095235277757,76.98366195480864,33,3,returns
